[2025-06-09T18:40:02.391+0200] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-06-09T18:41:00.640+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-07
[2025-06-09T18:41:01.036+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-08
[2025-06-09T18:41:01.421+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-08
[2025-06-09T18:41:01.659+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-09
[2025-06-09T18:41:02.022+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-09
[2025-06-09T18:41:02.390+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-10
[2025-06-09T18:41:02.753+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-10
[2025-06-09T18:41:03.126+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-11
[2025-06-09T18:41:03.564+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-11
[2025-06-09T18:41:03.770+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-12
[2025-06-09T18:41:04.131+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-12
[2025-06-09T18:41:04.526+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-13
[2025-06-09T18:41:04.976+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-13
[2025-06-09T18:41:05.440+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-14
[2025-06-09T18:41:05.726+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-14
[2025-06-09T18:41:06.113+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-15
[2025-06-09T18:41:06.416+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-15
[2025-06-09T18:41:06.717+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-16
[2025-06-09T18:41:07.143+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-16
[2025-06-09T18:41:07.580+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-17
[2025-06-09T18:41:07.996+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-17
[2025-06-09T18:41:08.396+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-18
[2025-06-09T18:41:08.776+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-18
[2025-06-09T18:41:09.039+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-19
[2025-06-09T18:41:09.416+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-19
[2025-06-09T18:41:09.747+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-20
[2025-06-09T18:41:10.387+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-20
[2025-06-09T18:41:11.290+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-21
[2025-06-09T18:41:12.339+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-21
[2025-06-09T18:41:13.170+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-22
[2025-06-09T18:41:14.782+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-22
[2025-06-09T18:41:15.538+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-25
[2025-06-09T18:41:16.197+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-25
[2025-06-09T18:41:16.788+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-26
[2025-06-09T18:41:17.333+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-26
[2025-06-09T18:41:17.992+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-27
[2025-06-09T18:41:18.668+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-27
[2025-06-09T18:41:19.459+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-28
[2025-06-09T18:41:20.367+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-28
[2025-06-09T18:41:20.932+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-03-01
[2025-06-09T18:41:21.625+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-03-01
[2025-06-09T18:41:22.292+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-03-02
